NO.,Voltage(NL3),Time(NL3)
174,-4.20E+00,-5.5000E-06
175,-4.40E+00,-5.4500E-06
176,-4.40E+00,-5.4000E-06
177,-4.40E+00,-5.3500E-06
178,-4.40E+00,-5.3000E-06
179,-4.40E+00,-5.2500E-06
180,-4.20E+00,-5.2000E-06
181,-4.40E+00,-5.1500E-06
182,-4.40E+00,-5.1000E-06
183,-4.20E+00,-5.0500E-06
184,-4.40E+00,-5.0000E-06
185,-4.40E+00,-4.9500E-06
186,-4.40E+00,-4.9000E-06
187,-4.40E+00,-4.8500E-06
188,-4.20E+00,-4.8000E-06
189,-4.20E+00,-4.7500E-06
190,-4.20E+00,-4.7000E-06
191,-4.20E+00,-4.6500E-06
192,-4.20E+00,-4.6000E-06
193,-4.20E+00,-4.5500E-06
194,-4.00E+00,-4.5000E-06
195,-4.00E+00,-4.4500E-06
196,-4.00E+00,-4.4000E-06
197,-4.00E+00,-4.3500E-06
198,-4.00E+00,-4.3000E-06
199,-4.00E+00,-4.2500E-06
200,-3.80E+00,-4.2000E-06
201,-3.80E+00,-4.1500E-06
202,-3.80E+00,-4.1000E-06
203,-3.80E+00,-4.0500E-06
204,-3.60E+00,-4.0000E-06
205,-3.60E+00,-3.9500E-06
206,-3.60E+00,-3.9000E-06
207,-3.40E+00,-3.8500E-06
208,-3.40E+00,-3.8000E-06
209,-3.40E+00,-3.7500E-06
210,-3.20E+00,-3.7000E-06
211,-3.20E+00,-3.6500E-06
212,-3.20E+00,-3.6000E-06
213,-3.00E+00,-3.5500E-06
214,-3.00E+00,-3.5000E-06
215,-2.80E+00,-3.4500E-06
216,-2.80E+00,-3.4000E-06
217,-2.80E+00,-3.3500E-06
218,-2.80E+00,-3.3000E-06
219,-2.60E+00,-3.2500E-06
220,-2.40E+00,-3.2000E-06
221,-2.40E+00,-3.1500E-06
222,-2.40E+00,-3.1000E-06
223,-2.20E+00,-3.0500E-06
224,-2.20E+00,-3.0000E-06
225,-2.00E+00,-2.9500E-06
226,-1.80E+00,-2.9000E-06
227,-1.80E+00,-2.8500E-06
228,-1.60E+00,-2.8000E-06
229,-1.60E+00,-2.7500E-06
230,-1.60E+00,-2.7000E-06
231,-1.40E+00,-2.6500E-06
232,-1.40E+00,-2.6000E-06
233,-1.20E+00,-2.5500E-06
234,-1.00E+00,-2.5000E-06
235,-1.00E+00,-2.4500E-06
236,-1.00E+00,-2.4000E-06
237,-8.00E-01,-2.3500E-06
238,-8.00E-01,-2.3000E-06
239,-6.00E-01,-2.2500E-06
240,-4.00E-01,-2.2000E-06
241,-4.00E-01,-2.1500E-06
242,-2.00E-01,-2.1000E-06
243,0.00E+00,-2.0500E-06
244,0.00E+00,-2.0000E-06
245,0.00E+00,-1.9500E-06
246,2.00E-01,-1.9000E-06
247,2.00E-01,-1.8500E-06
248,4.00E-01,-1.8000E-06
249,6.00E-01,-1.7500E-06
250,6.00E-01,-1.7000E-06
251,8.00E-01,-1.6500E-06
252,8.00E-01,-1.6000E-06
253,1.00E+00,-1.5500E-06
254,1.00E+00,-1.5000E-06
255,1.00E+00,-1.4500E-06
256,1.20E+00,-1.4000E-06
257,1.40E+00,-1.3500E-06
258,1.40E+00,-1.3000E-06
259,1.60E+00,-1.2500E-06
260,1.60E+00,-1.2000E-06
261,1.80E+00,-1.1500E-06
262,1.80E+00,-1.1000E-06
263,1.80E+00,-1.0500E-06
264,2.00E+00,-1.0000E-06
265,2.20E+00,-9.5000E-07
266,2.20E+00,-9.0000E-07
267,2.40E+00,-8.5000E-07
268,2.40E+00,-8.0000E-07
269,2.60E+00,-7.5000E-07
270,2.60E+00,-7.0000E-07
271,2.60E+00,-6.5000E-07
272,2.80E+00,-6.0000E-07
273,2.80E+00,-5.5000E-07
274,2.80E+00,-5.0000E-07
275,3.00E+00,-4.5000E-07
276,3.00E+00,-4.0000E-07
277,3.20E+00,-3.5000E-07
278,3.20E+00,-3.0000E-07
279,3.20E+00,-2.5000E-07
280,3.20E+00,-2.0000E-07
281,3.40E+00,-1.5000E-07
282,3.40E+00,-1.0000E-07
283,3.40E+00,-5.0000E-08
284,3.60E+00,0.0000E+00
285,3.60E+00,5.0000E-08
286,3.60E+00,1.0000E-07
287,3.80E+00,1.5000E-07
288,3.80E+00,2.0000E-07
289,3.80E+00,2.5000E-07
290,3.80E+00,3.0000E-07
291,3.80E+00,3.5000E-07
292,3.80E+00,4.0000E-07
293,4.00E+00,4.5000E-07
294,4.00E+00,5.0000E-07
295,4.00E+00,5.5000E-07
296,4.00E+00,6.0000E-07
297,4.20E+00,6.5000E-07
298,4.00E+00,7.0000E-07
299,4.20E+00,7.5000E-07
300,4.20E+00,8.0000E-07
301,4.00E+00,8.5000E-07
302,4.20E+00,9.0000E-07
303,4.20E+00,9.5000E-07
304,4.20E+00,1.0000E-06
305,4.20E+00,1.0500E-06
306,4.20E+00,1.1000E-06
307,4.20E+00,1.1500E-06
308,4.20E+00,1.2000E-06
309,4.20E+00,1.2500E-06
310,4.00E+00,1.3000E-06
311,4.20E+00,1.3500E-06
312,4.20E+00,1.4000E-06
313,4.00E+00,1.4500E-06
314,4.20E+00,1.5000E-06
315,4.00E+00,1.5500E-06
316,4.00E+00,1.6000E-06
317,4.00E+00,1.6500E-06
318,4.00E+00,1.7000E-06
319,4.00E+00,1.7500E-06
320,4.00E+00,1.8000E-06
321,3.80E+00,1.8500E-06
322,3.80E+00,1.9000E-06
323,3.80E+00,1.9500E-06
324,3.80E+00,2.0000E-06
325,3.60E+00,2.0500E-06
326,3.60E+00,2.1000E-06
327,3.60E+00,2.1500E-06
